Samples	Time	Error
10000	0.00022799	0.0212073
20000	0.000369419	0.0439927
30000	0.000533382	0.00452599
40000	0.000719512	0.00910735
50000	0.000873932	0.00807265
60000	0.00107556	5.93203e-05
70000	0.00128525	0.00890694
80000	0.00147172	0.00155735
90000	0.00169381	0.00345932
100000	0.00205361	0.000272654
110000	0.00193887	0.00253811
120000	0.00216218	0.000325987
130000	0.00230852	0.00291573
140000	0.00249568	0.00107837
150000	0.00272835	0.00415265
160000	0.00345429	0.000907346
170000	0.00305369	0.00998382
180000	0.00324507	0.0024371
190000	0.00350353	0.00588739
200000	0.00359078	0.00229265
210000	0.00415835	0.00145932
220000	0.00395861	0.00235629
230000	0.00411769	0.00439265
240000	0.00440971	0.00320932
250000	0.00450057	0.00370335
260000	0.00453002	0.00491504
270000	0.00470996	0.000629691
280000	0.00497538	0.00433592
290000	0.00499803	0.000227136
300000	0.00514259	0.00200599
310000	0.00536283	0.00592993
320000	0.00560946	0.00396985
330000	0.00594733	0.00354417
340000	0.0061287	0.00158089
350000	0.0063054	0.00303265
360000	0.00649523	0.00632599
370000	0.00666791	0.00122509
380000	0.00684516	0.00107686
390000	0.00701726	0.00286888
400000	0.00719854	0.00219735
410000	0.00738644	0.000826859
420000	0.00756839	0.000788299
430000	0.00776001	0.00822521
440000	0.00792995	0.0012472
450000	0.00812	0.00431265
460000	0.00827026	0.00525082
470000	0.00826859	0.00217989
480000	0.00842379	0.00291568
490000	0.00861254	0.0030702
500000	0.00877567	0.000479346
510000	0.00895077	0.00124656
520000	0.00913477	0.00161573
530000	0.00930112	0.00129791
540000	0.00947367	0.00257772
550000	0.00976072	0.00106189
560000	0.00995469	0.00483551
570000	0.0102663	0.000695066
580000	0.0101976	0.000152174
590000	0.0103638	0.00209548
600000	0.010537	0.00159401
610000	0.010714	0.00180249
620000	0.0108852	0.000975088
630000	0.0110612	0.00014068
640000	0.0112305	0.0015511
650000	0.0114153	0.00132804
660000	0.0115861	0.00131644
670000	0.0115536	0.00154489
680000	0.0117065	0.000375007
690000	0.0118706	0.00158996
700000	0.0119737	0.00476735
710000	0.0122113	0.00175946
720000	0.0123268	0.00169068
730000	0.0125438	0.00217348
740000	0.012712	0.00258725
750000	0.012984	0.00258868
760000	0.0131495	0.00345055
770000	0.0133	0.00044371
780000	0.0133883	0.00060291
790000	0.0136128	3.77262e-05
800000	0.013796	0.00119265
810000	0.0139933	0.000560433
820000	0.0140627	0.00281222
830000	0.0142747	0.00218566
840000	0.0144168	0.00011687
850000	0.0147094	0.00291501
860000	0.0147291	0.000514323
870000	0.0148892	0.00299125
880000	0.0151684	0.00167553
890000	0.015241	0.00154443
900000	0.0154833	0.000992654
910000	0.0156175	0.0012454
920000	0.0158339	0.000381259
930000	0.0161035	0.000525987
940000	0.0163659	0.00135628
950000	0.016326	0.00139261
960000	0.0164929	0.00215318
970000	0.016603	0.00265065
980000	0.0168116	0.00116245
990000	0.0170546	0.0012371
1000000	0.0171537	0.00109535
